type=string
"delvierychingaw.duckdns.org" "Duckdns"
"event.eventbrite.com" "Eventbrite"
"12301230.co" "Co"
"40031.co" "Co"
"grabify.link" "Link"
"samuelelena.co" "Co"
"uelelena.co" "Co"
"12301230.co" "Co"
"40031.co" "Co"
"grabify.link" "Link"
"samuelelena.co" "Co"
"uptycs.com" "Com"
"terofmail.com" "Com"
"btc-coinspay.top" "Top"
"barrelvi.com" "Com"
"chatttopadhyay.com" "Com"
"jaishankaar.com" "Com"
"premmchand.com" "Com"
"rabbindranath.com" "Com"
"randpicture.com" "Com"
"server-3953209698233259329854329863284329598325985.top" "Top"
"thackerray.com" "Com"
"banccosanlanber.site" "Site"
"chipkin.ru" "Ru"
"quwguv710.top" "Top"
"somotaro.com" "Com"
"solomonegbe.com" "Com"
"notion.ramchhaya.com" "Ramchhaya"
"ghf-gopp1rip.com" "Com"
"rottieud.sbs" "Sbs"
"relalingj.sbs" "Sbs"
"repostebhu.sbs" "Sbs"
"thinkyyokej.sbs" "Sbs"
"tamedgeesy.sbs" "Sbs"
"explainvees.sbs" "Sbs"
"brownieyuz.sbs" "Sbs"
"slippyhost.cfd" "Cfd"
"ducksringjk.sbs" "Sbs"
"12301230.co" "Co"
"40031.co" "Co"
"grabify.link" "Link"
"samuelelena.co" "Co"
"uptycs.com" "Com"
"terofmail.com" "Com"
"btc-coinspay.top" "Top"
"barrelvi.com" "Com"
"chatttopadhyay.com" "Com"
"jaishankaar.com" "Com"
"premmchand.com" "Com"
"rabbindranath.com" "Com"
"randpicture.com" "Com"
"server-3953209698233259329854329863284329598325985.top" "Top"
"thackerray.com" "Com"
"banccosanlanber.site" "Site"
"chipkin.ru" "Ru"
"quwguv710.top" "Top"
"somotaro.com" "Com"
"solomonegbe.com" "Com"
"notion.ramchhaya.com" "Ramchhaya"
"ghf-gopp1rip.com" "Com"
"rottieud.sbs" "Sbs"
"relalingj.sbs" "Sbs"
"repostebhu.sbs" "Sbs"
"thinkyyokej.sbs" "Sbs"
"tamedgeesy.sbs" "Sbs"
"explainvees.sbs" "Sbs"
"brownieyuz.sbs" "Sbs"
"slippyhost.cfd" "Cfd"
"ducksringjk.sbs" "Sbs"
"12301230.co" "Co"
"40031.co" "Co"
"grabify.link" "Link"
"samuelelena.co" "Co"
